function_name,,GA,PSO,SLnO,WOA,ISLO,TWO,QSO
islo_uni_F1,mean,4.64E+01,9.69E+02,2.52E-25,2.26E-80,3.26E-120,1.06E+01,8.14E-01
islo_uni_F1,std,7.54E+00,3.12E+02,7.11E-25,9.41E-80,8.45E-120,1.39E+00,3.08E-01
islo_uni_F1,rank,6,7,3,2,1,5,4
islo_uni_F2,mean,2.19E+02,1.99E+02,1.64E+01,2.98E+00,2.26E-01,2.49E+01,2.62E+00
islo_uni_F2,std,1.44E+01,3.42E+01,2.38E+00,5.86E-01,1.23E-01,2.24E+00,6.15E-01
islo_uni_F2,rank,7,6,4,3,1,5,2
islo_uni_F3,mean,4.30E+00,1.79E+01,7.58E+01,4.39E+01,6.25E-58,1.58E+01,1.82E+01
islo_uni_F3,std,1.11E+00,2.28E+00,1.92E+01,2.29E+01,2.64E-57,3.93E+00,1.43E+00
islo_uni_F3,rank,2,4,7,6,1,3,5
islo_uni_F4,mean,1.12E+02,7.43E+02,4.07E+26,2.81E+00,1.56E-01,1.71E+32,1.79E+02
islo_uni_F4,std,7.57E+00,1.22E+02,1.30E+27,7.00E-01,1.01E-01,7.33E+32,1.98E+02
islo_uni_F4,rank,3,5,6,2,1,7,4
islo_uni_F5,mean,1.36E+03,1.58E+04,2.01E+02,2.42E+00,3.52E-02,2.24E+03,2.43E+01
islo_uni_F5,std,3.87E+02,5.57E+03,9.51E+01,6.70E-01,6.06E-02,1.06E+03,1.20E+01
islo_uni_F5,rank,5,7,4,2,1,6,3
islo_uni_F6,mean,1.27E+00,1.20E+00,3.27E-01,4.71E-03,5.65E-05,1.02E+00,7.83E-02
islo_uni_F6,std,3.01E-02,4.08E-02,1.47E-01,1.40E-03,5.50E-05,2.21E-02,4.22E-02
islo_uni_F6,rank,7,6,4,2,1,5,3
islo_uni_F7,mean,8.70E+06,2.34E+07,1.42E+06,6.12E+04,8.22E+02,1.22E+08,1.27E+04
islo_uni_F7,std,2.66E+06,1.17E+07,1.12E+06,2.05E+04,1.10E+02,4.97E+07,5.12E+03
islo_uni_F7,rank,5,6,4,3,1,7,2
islo_uni_F8,mean,4.54E+08,7.70E+09,6.52E+07,7.83E+05,1.60E+04,1.02E+08,8.19E+06
islo_uni_F8,std,1.10E+08,2.70E+09,2.65E+07,2.47E+05,1.20E+04,1.42E+07,3.40E+06
islo_uni_F8,rank,6,7,4,2,1,5,3
islo_multi_F9,mean,1.69E+01,2.04E+01,2.05E+01,2.82E-01,1.85E-02,2.01E+01,2.08E+01
islo_multi_F9,std,3.02E-01,8.70E-01,3.00E-01,2.22E-01,1.11E-02,3.89E-02,2.81E-02
islo_multi_F9,rank,3,5,6,2,1,4,7
islo_multi_F10,mean,6.71E+00,1.42E+01,3.55E-01,3.41E-01,4.34E-04,7.68E-01,7.05E-01
islo_multi_F10,std,9.85E-01,3.00E+00,8.31E-02,1.35E-01,1.89E-03,1.25E-01,6.88E-02
islo_multi_F10,rank,6,7,3,2,1,5,4
islo_multi_F11,mean,2.11E+04,2.99E+04,5.25E+03,3.14E+03,9.01E+03,5.20E+03,6.09E+03
islo_multi_F11,std,2.43E+03,1.50E+04,3.25E+03,1.42E+03,5.01E+02,1.77E+03,7.24E+02
islo_multi_F11,rank,6,7,3,1,5,2,4
islo_multi_F12,mean,3.84E+00,5.30E+00,7.25E-01,3.75E-01,9.50E-02,1.76E+00,1.87E+00
islo_multi_F12,std,3.09E-01,5.25E-01,6.98E-02,9.94E-02,2.00E-02,3.93E-01,2.05E-01
islo_multi_F12,rank,6,7,3,2,1,4,5
islo_multi_F13,mean,8.18E+04,4.77E+06,1.45E+03,5.63E+01,3.85E-01,5.40E+04,6.70E+03
islo_multi_F13,std,1.97E+04,2.83E+06,5.67E+02,2.75E+00,3.67E-01,9.53E+04,4.26E+03
islo_multi_F13,rank,6,7,3,2,1,5,4
islo_multi_F14,mean,3.17E+02,3.20E+02,3.21E+02,3.00E+02,3.00E+02,3.20E+02,3.21E+02
islo_multi_F14,std,3.42E-01,7.51E-01,2.93E-01,1.92E-01,1.37E-02,3.78E-02,2.91E-02
islo_multi_F14,rank,3,4,6,1,1,4,6
islo_multi_F15,mean,2.75E+04,7.21E+04,4.21E+03,5.42E+02,4.02E+02,3.17E+05,4.46E+02
islo_multi_F15,std,9.46E+03,3.66E+04,2.29E+03,5.50E+01,2.43E+00,1.28E+05,3.07E+01
islo_multi_F15,rank,5,6,4,3,1,7,2
islo_multi_F16,mean,5.21E+02,5.21E+02,5.21E+02,5.03E+02,5.00E+02,5.20E+02,5.21E+02
islo_multi_F16,std,4.48E-02,1.66E-01,1.75E-01,5.94E+00,3.80E-01,3.76E-02,1.99E-02
islo_multi_F16,rank,5,6,7,2,1,3,4
islo_hybrid_F17,mean,2.19E+05,1.46E+05,8.08E+04,8.82E+03,1.81E+03,2.08E+06,5.46E+03
islo_hybrid_F17,std,1.29E+05,7.68E+04,4.92E+04,2.63E+03,1.95E+02,7.79E+05,5.00E+02
islo_hybrid_F17,rank,6,5,4,3,1,7,2
islo_hybrid_F18,mean,6.43E+06,3.15E+04,9.29E+05,8.12E+03,4.46E+03,4.73E+05,3.49E+03
islo_hybrid_F18,std,1.10E+06,9.41E+03,1.66E+06,2.55E+03,2.95E+03,1.00E+05,8.92E+02
islo_hybrid_F18,rank,7,4,6,3,2,5,1
islo_hybrid_F19,mean,8.97E+03,2.36E+03,2.48E+03,1.95E+03,1.92E+03,9.67E+03,2.01E+03
islo_hybrid_F19,std,2.87E+03,9.31E+02,8.36E+02,4.45E+01,2.08E+00,2.02E+04,1.25E+02
islo_hybrid_F19,rank,6,4,5,2,1,7,3
islo_hybrid_F20,mean,1.82E+05,2.52E+04,1.49E+04,2.81E+03,2.12E+03,4.53E+05,1.77E+04
islo_hybrid_F20,std,2.14E+05,1.24E+04,6.90E+03,6.75E+02,8.47E+01,1.03E+06,5.70E+04
islo_hybrid_F20,rank,6,5,3,2,1,7,4
islo_hybrid_F21,mean,7.97E+06,5.51E+07,1.04E+08,2.00E+05,3.19E+03,1.79E+08,4.43E+08
islo_hybrid_F21,std,2.95E+06,3.76E+07,1.00E+08,4.37E+05,9.01E+03,8.02E+07,1.46E+08
islo_hybrid_F21,rank,3,4,5,2,1,6,7
islo_hybrid_F22,mean,2.28E+05,1.26E+07,1.85E+08,8.72E+02,7.16E+02,1.17E+08,2.57E+08
islo_hybrid_F22,std,7.52E+04,1.27E+07,6.11E+08,2.55E+02,9.38E-01,1.29E+08,1.73E+08
islo_hybrid_F22,rank,3,4,6,2,1,5,7
islo_hybrid_F23,mean,5.29E+06,6.08E+07,2.65E+08,3.59E+04,1.26E+03,2.74E+08,9.76E+08
